 ,Date,Count,Count_Filtered,Site,Tow,Salinity,Temperature,BioVol,Volume_Filtered,BioVol_Filtered,
Mnemiopsis leidyi,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Anapagurus hyndmanni,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Callianassa sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Carcinus_meanas,6/4/2024,21,0.0002552007048,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Crangon_crangon,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Crangonid_larvae,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Hippolytid_larvae,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Homarus_americanus,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Unidentified_decapod_larvae,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Unidentified_fish_larvae,6/4/2024,5,0.00006076207258,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Paralicntnys_dentatus,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Eutima_gracilis,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Leukartiara_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Obelia_sp,6/4/2024,1,0.00001215241452,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Sarsia_tubulosa,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Rathkea_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Barnacle_larvae,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Bivalve_larvae,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Eggs,6/4/2024,200,0.002430482903,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Bivalve_veliger,6/4/2024,14,0.0001701338032,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Gammarus_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Hyperia_galba,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Acartia_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Calanus_sp,6/13/2024,18,0.00001881289574,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Centropages_hamatus,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Centropages_sp,6/13/2024,9,0.000009406447868,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Centropages_typicus,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Copepod_nauplii,6/13/2024,1,0.000001045160874,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Tigriopus_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Labidocera_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Oithona_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Paracalanus_sp,6/13/2024,5,0.000005225804371,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Evadne_nordmanni,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Podon_polyphemoides,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Beroe_cucumis,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Ctenophore_fragments,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Mnemiopsis leidyi,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Anapagurus hyndmanni,6/13/2024,1,0.000001045160874,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Callianassa sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Carcinus_meanas,6/13/2024,31,0.0000323999871,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Crangon_crangon,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Crangonid_larvae,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Hippolytid_larvae,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Homarus_americanus,6/13/2024,1,0.000001045160874,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Unidentified_decapod_larvae,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Unidentified_fish_larvae,6/13/2024,7,0.000007316126119,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Paralicntnys_dentatus,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Eutima_gracilis,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Leukartiara_sp,6/13/2024,1,0.000001045160874,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Obelia_sp,6/13/2024,125,0.0001306451093,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Sarsia_tubulosa,6/13/2024,4,0.000004180643497,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Rathkea_sp,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Barnacle_larvae,6/13/2024,0,0,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Bivalve_larvae,6/13/2024,9,0.000009406447868,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Eggs,6/13/2024,1239,0.001294954323,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Fish_eggs,6/13/2024,737,0.0007702835643,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Bivalve_veliger,6/13/2024,3,0.000003135482623,Ram,700,30.65,12.09,12,956790.5044,0.00001254193049,
Gammarus_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Hyperia_galba,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Acartia_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Calanus_sp,6/20/2024,11,0.000007955403469,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Centropages_hamatus,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Centropages_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Centropages_typicus,6/20/2024,4,0.000002892873989,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Copepod_nauplii,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Tigriopus_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Labidocera_sp,6/20/2024,1,0.0000007232184972,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Oithona_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Paracalanus_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Evadne_nordmanni,6/20/2024,7,0.00000506252948,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Podon_polyphemoides,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Beroe_cucumis,6/20/2024,4,0.000002892873989,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Ctenophore_fragments,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Mnemiopsis leidyi,6/20/2024,5,0.000003616092486,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Anapagurus hyndmanni,6/20/2024,19,0.00001374115145,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Callianassa sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Carcinus_meanas,6/20/2024,36,0.0000260358659,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Crangon_crangon,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Crangonid_larvae,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Hippolytid_larvae,6/20/2024,7,0.00000506252948,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Homarus_americanus,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Unidentified_decapod_larvae,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Unidentified_fish_larvae,6/20/2024,11,0.000007955403469,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Paralicntnys_dentatus,6/20/2024,2,0.000001446436994,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Eutima_gracilis,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Leukartiara_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Obelia_sp,6/20/2024,208,0.0001504294474,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Sarsia_tubulosa,6/20/2024,11,0.000007955403469,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Rathkea_sp,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Barnacle_larvae,6/20/2024,0,0,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Bivalve_larvae,6/20/2024,1,0.0000007232184972,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Eggs,6/20/2024,115,0.00008317012718,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Gammarus_sp,6/20/2024,121,0.00008750943816,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Bivalve_veliger,6/20/2024,1,0.0000007232184972,Ram,700,30.86,10.72,0.5,1382707.997,0.0000003616092486,
Gammarus_sp,6/27/2024,3,0.000002479069608,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Hyperia_galba,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Acartia_sp,6/27/2024,24,0.00001983255686,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Calanus_sp,6/27/2024,19,0.00001570077418,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Centropages_hamatus,6/27/2024,23,0.00001900620033,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Centropages_sp,6/27/2024,14,0.0000115689915,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Centropages_typicus,6/27/2024,37,0.00003057519183,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Copepod_nauplii,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Tigriopus_sp,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Labidocera_sp,6/27/2024,1,0.0000008263565359,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Oithona_sp,6/27/2024,4,0.000003305426144,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Paracalanus_sp,6/27/2024,9,0.000007437208823,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Evadne_nordmanni,6/27/2024,4,0.000003305426144,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Podon_polyphemoides,6/27/2024,1,0.0000008263565359,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Beroe_cucumis,6/27/2024,3,0.000002479069608,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Ctenophore_fragments,6/27/2024,3,0.000002479069608,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Mnemiopsis leidyi,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Anapagurus hyndmanni,6/27/2024,2,0.000001652713072,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Callianassa sp,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Carcinus_meanas,6/27/2024,17,0.00001404806111,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Crangon_crangon,6/27/2024,1,0.0000008263565359,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Crangonid_larvae,6/27/2024,4,0.000003305426144,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Hippolytid_larvae,6/27/2024,26,0.00002148526993,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Homarus_americanus,6/27/2024,8,0.000006610852288,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Unidentified_decapod_larvae,6/27/2024,2,0.000001652713072,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Unidentified_fish_larvae,6/27/2024,8,0.000006610852288,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Paralicntnys_dentatus,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Eutima_gracilis,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Leukartiara_sp,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Obelia_sp,6/27/2024,11,0.000009089921895,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Sarsia_tubulosa,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Rathkea_sp,6/27/2024,1,0.0000008263565359,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Barnacle_larvae,6/27/2024,5,0.00000413178268,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Bivalve_larvae,6/27/2024,3,0.000002479069608,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Eggs,6/27/2024,686,0.0005668805837,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Fish_eggs,6/27/2024,14,0.0000115689915,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Bivalve_veliger,6/27/2024,0,0,Ram,700,30.6,12.56,4,1210131.41,0.000003305426144,
Gammarus_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Hyperia_galba,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Acartia_sp,7/2/2024,16,0.00001519491469,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Calanus_sp,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Centropages_hamatus,7/2/2024,56,0.00005318220142,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Centropages_sp,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Centropages_typicus,7/2/2024,32,0.00003038982938,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Copepod_nauplii,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Tigriopus_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Labidocera_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Oithona_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Paracalanus_sp,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Evadne_nordmanni,7/2/2024,64,0.00006077965877,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Podon_polyphemoides,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Beroe_cucumis,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Ctenophore_fragments,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Mnemiopsis leidyi,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Anapagurus hyndmanni,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Callianassa sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Carcinus_meanas,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Crangon_crangon,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Crangonid_larvae,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Hippolytid_larvae,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Homarus_americanus,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Unidentified_decapod_larvae,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Unidentified_fish_larvae,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Paralicntnys_dentatus,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Eutima_gracilis,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Leukartiara_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Obelia_sp,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Sarsia_tubulosa,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Rathkea_sp,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Barnacle_larvae,7/2/2024,8,0.000007597457346,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
Bivalve_larvae,7/2/2024,0,0,Ram,700,30.97,12.73,10,1052983.865,0.000009496821682,
